Flow,milliliter/second,centimeter\u00B3/hour,false,2.777777777777778E-4,0.0,
Flow,milliliter/second,centimeter\u00B3/minute,false,0.016666666666666666,0.0,
Flow,milliliter/second,centimeter\u00B3/second,false,1.0,0.0,
Flow,milliliter/second,foot\u00B3/hour,false,7.86579072,0.0,
Flow,milliliter/second,foot\u00B3/minute,false,471.9474432,0.0,
Flow,milliliter/second,foot\u00B3/second,false,28316.84659,0.0,
Flow,milliliter/second,gallon-UK/day,false,0.05261680556,0.0,
Flow,milliliter/second,gallon-UK/hour,false,1.262803333,0.0,
Flow,milliliter/second,gallon-UK/minute,false,75.7682,0.0,
Flow,milliliter/second,gallon-UK/second,false,4546.092,0.0,
Flow,milliliter/second,gallon/day,false,0.04381263639,0.0,
Flow,milliliter/second,gallon/hour,false,1.051503273,0.0,
Flow,milliliter/second,gallon/minute,false,63.0901964,0.0,
Flow,milliliter/second,gallon/second,false,3785.411784,0.0,
Flow,milliliter/second,liter/day,false,0.01157407407,0.0,
Flow,milliliter/second,liter/hour,false,0.2777777777777778,0.0,
Flow,milliliter/second,liter/minute,false,16.666666666666668,0.0,
Flow,milliliter/second,liter/second,false,1000.0,0.0,
Flow,milliliter/second,meter\u00B3/day,false,11.57407407,0.0,
Flow,milliliter/second,meter\u00B3/hour,false,277.77777777777777,0.0,
Flow,milliliter/second,meter\u00B3/minute,false,16666.66667,0.0,
Flow,milliliter/second,meter\u00B3/second,false,1000000.0,0.0,
Flow,milliliter/second,milliliter/hour,false,2.777777777777778E-4,0.0,
Flow,milliliter/second,milliliter/minute,false,0.016666666666666666,0.0,
Flow,milliliter/second,milliliter/second,true,1.0,0.0,
Flow,milliliter/second,ounce-UK/hour,false,0.007892520833,0.0,
Flow,milliliter/second,ounce-UK/minute,false,0.47355125,0.0,
Flow,milliliter/second,ounce-UK/second,false,28.413075,0.0,
Flow,milliliter/second,ounce/hour,false,0.008214869323,0.0,
Flow,milliliter/second,ounce/minute,false,0.4928921594,0.0,
Flow,milliliter/second,ounce/second,false,29.57352956,0.0,
